番号,日本語,英語、イタリア語、スペイン語,ドイツ語,フランス語,韓国語,中国語（簡）,中国語（繁）
0001,フシギダネ,Bulbasaur,Bisasam,Bulbizarre,이상해씨,妙蛙种子,妙蛙種子
0002,フシギソウ,Ivysaur,Bisaknosp,Herbizarre,이상해풀,妙蛙草,妙蛙草
0003,フシギバナ,Venusaur,Bisaflor,Florizarre,이상해꽃,妙蛙花,妙蛙花
0004,ヒトカゲ,Charmander,Glumanda,Salamèche,파이리,小火龙,小火龍
0005,リザード,Charmeleon,Glutexo,Reptincel,리자드,火恐龙,火恐龍
0006,リザードン,Charizard,Glurak,Dracaufeu,리자몽,喷火龙,噴火龍
0007,ゼニガメ,Squirtle,Schiggy,Carapuce,꼬부기,杰尼龟,傑尼龜
0008,カメール,Wartortle,Schillok,Carabaffe,어니부기,卡咪龟,卡咪龜
0009,カメックス,Blastoise,Turtok,Tortank,거북왕,水箭龟,水箭龜
0010,キャタピー,Caterpie,Raupy,Chenipan,캐터피,绿毛虫,綠毛蟲
0011,トランセル,Metapod,Safcon,Chrysacier,단데기,铁甲蛹,鐵甲蛹
0012,バタフリー,Butterfree,Smettbo,Papilusion,버터플,巴大蝶,巴大蝶
0013,ビードル,Weedle,Hornliu,Aspicot,뿔충이,独角虫,獨角蟲
0014,コクーン,Kakuna,Kokuna,Coconfort,딱충이,铁壳蛹,鐵殼蛹
0015,スピアー,Beedrill,Bibor,Dardargnan,독침붕,大针蜂,大針蜂
0016,ポッポ,Pidgey,Taubsi,Roucool,구구,波波,波波
0017,ピジョン,Pidgeotto,Tauboga,Roucoups,피죤,比比鸟,比比鳥
0018,ピジョット,Pidgeot,Tauboss,Roucarnage,피죤투,大比鸟,大比鳥
0019,コラッタ,Rattata,Rattfratz,Rattata,꼬렛,小拉达,小拉達
0020,ラッタ,Raticate,Rattikarl,Rattatac,레트라,拉达,拉達
0021,オニスズメ,Spearow,Habitak,Piafabec,깨비참,烈雀,烈雀
0022,オニドリル,Fearow,Ibitak,Rapasdepic,깨비드릴조,大嘴雀,大嘴雀
0023,アーボ,Ekans,Rettan,Abo,아보,阿柏蛇,阿柏蛇
0024,アーボック,Arbok,Arbok,Arbok,아보크,阿柏怪,阿柏怪
0025,ピカチュウ,Pikachu,Pikachu,Pikachu,피카츄,皮卡丘,皮卡丘
0026,ライチュウ,Raichu,Raichu,Raichu,라이츄,雷丘,雷丘
0027,サンド,Sandshrew,Sandan,Sabelette,모래두지,穿山鼠,穿山鼠
0028,サンドパン,Sandslash,Sandamer,Sablaireau,고지,穿山王,穿山王
0029,ニドラン♀,Nidoran♀,Nidoran♀,Nidoran♀,니드런♀,尼多兰,尼多蘭
0030,ニドリーナ,Nidorina,Nidorina,Nidorina,니드리나,尼多娜,尼多娜
0031,ニドクイン,Nidoqueen,Nidoqueen,Nidoqueen,니드퀸,尼多后,尼多后
0032,ニドラン♂,Nidoran♂,Nidoran♂,Nidoran♂,니드런♂,尼多朗,尼多朗
0033,ニドリーノ,Nidorino,Nidorino,Nidorino,니드리노,尼多力诺,尼多力諾
0034,ニドキング,Nidoking,Nidoking,Nidoking,니드킹,尼多王,尼多王
0035,ピッピ,Clefairy,Piepi,Mélofée,삐삐,皮皮,皮皮
0036,ピクシー,Clefable,Pixi,Mélodelfe,픽시,皮可西,皮可西
0037,ロコン,Vulpix,Vulpix,Goupix,식스테일,六尾,六尾
0038,キュウコン,Ninetales,Vulnona,Feunard,나인테일,九尾,九尾
0039,プリン,Jigglypuff,Pummeluff,Rondoudou,푸린,胖丁,胖丁
0040,プクリン,Wigglytuff,Knuddeluff,Grodoudou,푸크린,胖可丁,胖可丁
0041,ズバット,Zubat,Zubat,Nosferapti,주뱃,超音蝠,超音蝠
0042,ゴルバット,Golbat,Golbat,Nosferalto,골뱃,大嘴蝠,大嘴蝠
0043,ナゾノクサ,Oddish,Myrapla,Mystherbe,뚜벅쵸,走路草,走路草
0044,クサイハナ,Gloom,Duflor,Ortide,냄새꼬,臭臭花,臭臭花
0045,ラフレシア,Vileplume,Giflor,Rafflesia,라플레시아,霸王花,霸王花
0046,パラス,Paras,Paras,Paras,파라스,派拉斯,派拉斯
0047,パラセクト,Parasect,Parasek,Parasect,파라섹트,派拉斯特,派拉斯特
0048,コンパン,Venonat,Bluzuk,Mimitoss,콘팡,毛球,毛球
0049,モルフォン,Venomoth,Omot,Aéromite,도나리,摩鲁蛾,摩魯蛾
0050,ディグダ,Diglett,Digda,Taupiqueur,디그다,地鼠,地鼠
0051,ダグトリオ,Dugtrio,Digdri,Triopikeur,닥트리오,三地鼠,三地鼠
0052,ニャース,Meowth,Mauzi,Miaouss,나옹,喵喵,喵喵
0053,ペルシアン,Persian,Snobilikat,Persian,페르시온,猫老大,貓老大
0054,コダック,Psyduck,Enton,Psykokwak,고라파덕,可达鸭,可達鴨
0055,ゴルダック,Golduck,Entoron,Akwakwak,골덕,哥达鸭,哥達鴨
0056,マンキー,Mankey,Menki,Férosinge,망키,猴怪,猴怪
0057,オコリザル,Primeape,Rasaff,Colossinge,성원숭,火暴猴,火爆猴
0058,ガーディ,Growlithe,Fukano,Caninos,가디,卡蒂狗,卡蒂狗
0059,ウインディ,Arcanine,Arkani,Arcanin,윈디,风速狗,風速狗
0060,ニョロモ,Poliwag,Quapsel,Ptitard,발챙이,蚊香蝌蚪,蚊香蝌蚪
0061,ニョロゾ,Poliwhirl,Quaputzi,Têtarte,수륙챙이,蚊香君,蚊香君
0062,ニョロボン,Poliwrath,Quappo,Tartard,강챙이,蚊香泳士,蚊香泳士
0063,ケーシィ,Abra,Abra,Abra,캐이시,凯西,凱西
0064,ユンゲラー,Kadabra,Kadabra,Kadabra,윤겔라,勇基拉,勇基拉
0065,フーディン,Alakazam,Simsala,Alakazam,후딘,胡地,胡地
0066,ワンリキー,Machop,Machollo,Machoc,알통몬,腕力,腕力
0067,ゴーリキー,Machoke,Maschock,Machopeur,근육몬,豪力,豪力
0068,カイリキー,Machamp,Machomei,Mackogneur,괴력몬,怪力,怪力
0069,マダツボミ,Bellsprout,Knofensa,Chétiflor,모다피,喇叭芽,喇叭芽
0070,ウツドン,Weepinbell,Ultrigaria,Boustiflor,우츠동,口呆花,口呆花
0071,ウツボット,Victreebel,Sarzenia,Empiflor,우츠보트,大食花,大食花
0072,メノクラゲ,Tentacool,Tentacha,Tentacool,왕눈해,玛瑙水母,瑪瑙水母
0073,ドククラゲ,Tentacruel,Tentoxa,Tentacruel,독파리,毒刺水母,毒刺水母
0074,イシツブテ,Geodude,Kleinstein,Racaillou,꼬마돌,小拳石,小拳石
0075,ゴローン,Graveler,Georok,Gravalanch,데구리,隆隆石,隆隆石
0076,ゴローニャ,Golem,Geowaz,Grolem,딱구리,隆隆岩,隆隆岩
0077,ポニータ,Ponyta,Ponita,Ponyta,포니타,小火马,小火馬
0078,ギャロップ,Rapidash,Gallopa,Galopa,날쌩마,烈焰马,烈焰馬
0079,ヤドン,Slowpoke,Flegmon,Ramoloss,야돈,呆呆兽,呆呆獸
0080,ヤドラン,Slowbro,Lahmus,Flagadoss,야도란,呆壳兽,呆殼獸
0081,コイル,Magnemite,Magnetilo,Magnéti,코일,小磁怪,小磁怪
0082,レアコイル,Magneton,Magneton,Magnéton,레어코일,三合一磁怪,三合一磁怪
0083,カモネギ,Farfetch'd,Porenta,Canarticho,파오리,大葱鸭,大蔥鴨
0084,ドードー,Doduo,Dodu,Doduo,두두,嘟嘟,嘟嘟
0085,ドードリオ,Dodrio,Dodri,Dodrio,두트리오,嘟嘟利,嘟嘟利
0086,パウワウ,Seel,Jurob,Otaria,쥬쥬,小海狮,小海獅
0087,ジュゴン,Dewgong,Jugong,Lamantine,쥬레곤,白海狮,白海獅
0088,ベトベター,Grimer,Sleima,Tadmorv,질퍽이,臭泥,臭泥
0089,ベトベトン,Muk,Sleimok,Grotadmorv,질뻐기,臭臭泥,臭臭泥
0090,シェルダー,Shellder,Muschas,Kokiyas,셀러,大舌贝,大舌貝
0091,パルシェン,Cloyster,Austos,Crustabri,파르셀,刺甲贝,刺甲貝
0092,ゴース,Gastly,Nebulak,Fantominus,고오스,鬼斯,鬼斯
0093,ゴースト,Haunter,Alpollo,Spectrum,고우스트,鬼斯通,鬼斯通
0094,ゲンガー,Gengar,Gengar,Ectoplasma,팬텀,耿鬼,耿鬼
0095,イワーク,Onix,Onix,Onix,롱스톤,大岩蛇,大岩蛇
0096,スリープ,Drowzee,Traumato,Soporifik,슬리프,催眠貘,催眠貘
0097,スリーパー,Hypno,Hypno,Hypnomade,슬리퍼,引梦貘人,引夢貘人
0098,クラブ,Krabby,Krabby,Krabby,크랩,大钳蟹,大鉗蟹
0099,キングラー,Kingler,Kingler,Krabboss,킹크랩,巨钳蟹,巨鉗蟹
0100,ビリリダマ,Voltorb,Voltobal,Voltorbe,찌리리공,霹雳电球,霹靂電球
0101,マルマイン,Electrode,Lektrobal,Électrode,붐볼,顽皮雷弹,頑皮雷彈
0102,タマタマ,Exeggcute,Owei,Noeunoeuf,아라리,蛋蛋,蛋蛋
0103,ナッシー,Exeggutor,Kokowei,Noadkoko,나시,椰蛋树,椰蛋樹
0104,カラカラ,Cubone,Tragosso,Osselait,탕구리,卡拉卡拉,卡拉卡拉
0105,ガラガラ,Marowak,Knogga,Ossatueur,텅구리,嘎啦嘎啦,嘎啦嘎啦
0106,サワムラー,Hitmonlee,Kicklee,Kicklee,시라소몬,飞腿郎,飛腿郎
0107,エビワラー,Hitmonchan,Nockchan,Tygnon,홍수몬,快拳郎,快拳郎
0108,ベロリンガ,Lickitung,Schlurp,Excelangue,내루미,大舌头,大舌頭
0109,ドガース,Koffing,Smogon,Smogo,또가스,瓦斯弹,瓦斯彈
0110,マタドガス,Weezing,Smogmog,Smogogo,또도가스,双弹瓦斯,雙彈瓦斯
0111,サイホーン,Rhyhorn,Rihorn,Rhinocorne,뿔카노,独角犀牛,獨角犀牛
0112,サイドン,Rhydon,Rizeros,Rhinoféros,코뿌리,钻角犀兽,鑽角犀獸
0113,ラッキー,Chansey,Chaneira,Leveinard,럭키,吉利蛋,吉利蛋
0114,モンジャラ,Tangela,Tangela,Saquedeneu,덩구리,蔓藤怪,蔓藤怪
0115,ガルーラ,Kangaskhan,Kangama,Kangourex,캥카,袋兽,袋獸
0116,タッツー,Horsea,Seeper,Hypotrempe,쏘드라,墨海马,墨海馬
0117,シードラ,Seadra,Seemon,Hypocéan,시드라,海刺龙,海刺龍
0118,トサキント,Goldeen,Goldini,Poissirène,콘치,角金鱼,角金魚
0119,アズマオウ,Seaking,Golking,Poissoroy,왕콘치,金鱼王,金魚王
0120,ヒトデマン,Staryu,Sterndu,Stari,별가사리,海星星,海星星
0121,スターミー,Starmie,Starmie,Staross,아쿠스타,宝石海星,寶石海星
0122,バリヤード,Mr. Mime,Pantimos,M. Mime,마임맨,魔墙人偶,魔牆人偶
0123,ストライク,Scyther,Sichlor,Insécateur,스라크,飞天螳螂,飛天螳螂
0124,ルージュラ,Jynx,Rossana,Lippoutou,루주라,迷唇姐,迷唇姐
0125,エレブー,Electabuzz,Elektek,Élektek,에레브,电击兽,電擊獸
0126,ブーバー,Magmar,Magmar,Magmar,마그마,鸭嘴火兽,鴨嘴火獸
0127,カイロス,Pinsir,Pinsir,Scarabrute,쁘사이저,凯罗斯,凱羅斯
0128,ケンタロス,Tauros,Tauros,Tauros,켄타로스,肯泰罗,肯泰羅
0129,コイキング,Magikarp,Karpador,Magicarpe,잉어킹,鲤鱼王,鯉魚王
0130,ギャラドス,Gyarados,Garados,Léviator,갸라도스,暴鲤龙,暴鯉龍
0131,ラプラス,Lapras,Lapras,Lokhlass,라프라스,拉普拉斯,拉普拉斯
0132,メタモン,Ditto,Ditto,Métamorph,메타몽,百变怪,百變怪
0133,イーブイ,Eevee,Evoli,Évoli,이브이,伊布,伊布
0134,シャワーズ,Vaporeon,Aquana,Aquali,샤미드,水伊布,水伊布
